,CoinName,0,1,class
3,Bitcoin,-18.200867,-0.013601052,3
5,Litecoin,-9.011323,12.001667,3
14,ProsperCoin,-12.059636,9.641951,3
16,Spreadcoin,-14.582005,25.959335,3
17,Argentum,-10.918037,10.941819,3
22,ZetaCoin,-17.409021,-0.25906333,3
23,SexCoin,-6.762172,11.845696,3
24,Quatloo,-10.190344,11.423044,3
26,QuarkCoin,-17.40287,-0.7410314,3
28,Digitalcoin ,-10.51747,11.208155,3
30,Catcoin,-12.374263,10.156587,3
32,CannaCoin,-12.706442,9.978624,3
33,CryptCoin,-15.136673,25.375042,3
37,DevCoin,-5.441385,5.498344,3
38,EarthCoin,-6.1717796,6.488243,3
39,E-Gulden,-11.789649,10.435029,3
40,Einsteinium,-6.442371,11.355792,3
41,Emerald,-11.45582,10.525642,3
43,FlutterCoin,-9.651763,8.711682,3
44,Franko,-12.897825,9.803793,3
46,GrandCoin,-6.992453,9.388884,3
47,GlobalCoin,-9.17437,11.9444,3
48,GoldCoin,-9.747512,11.675582,3
51,Infinite Coin,-1.9251386,3.866725,3
53,IXcoin,-17.976658,0.21918905,3
54,KrugerCoin,-6.627443,11.706977,3
55,LuckyCoin,-11.704385,10.138191,3
56,Litebar ,-12.745908,9.15598,3
58,MegaCoin,-10.498947,11.219525,3
61,MinCoin,-12.748695,9.940318,3
65,NobleCoin,-6.6059384,7.0123816,3
66,Namecoin,-18.236553,-0.22245306,3
67,NyanCoin,-6.3984866,11.050172,3
73,RonPaulCoin,-12.211594,9.47546,3
74,StableCoin,-7.7173543,12.185508,3
75,SmartCoin,-10.739604,11.0535965,3
78,SysCoin,-17.35514,0.06290037,3
80,TigerCoin,-17.638783,0.265907,3
83,TerraCoin,-17.47829,-0.32951674,3
84,UnbreakableCoin,-17.955769,-0.50770944,3
85,Unobtanium,-18.232634,-0.2447936,3
86,UroCoin,-14.754303,25.88628,3
89,ViaCoin,-11.545814,10.4297,3
90,VeriCoin,-9.727889,8.861177,3
92,WorldCoin,-6.756181,11.840639,3
95,JouleCoin,-17.4729,-0.32487383,3
102,MonaCoin,-8.622339,12.111473,3
105,Gulden,-6.984981,9.445786,3
107,PesetaCoin,-7.093726,12.047573,3
109,Wild Beast Coin,-12.878989,9.260384,3
111,Flo,-7.00357,12.008028,3
114,ArtByte,-6.984306,9.465049,3
115,Folding Coin,-13.808748,22.7114,3
118,CypherPunkCoin,-17.411592,-1.128594,3
119,OmniCron,-12.296716,9.35968,3
121,GreenCoin,-6.689289,7.121809,3
123,MasterCoin,-13.067022,9.437173,3
124,SoonCoin,-18.179697,0.027677625,3
125,1Credit,-4.2975087,4.891543,3
128,MarsCoin ,-14.767055,25.158312,3
130,Anarchists Prime,-17.932161,0.24299085,3
132,BowsCoin,-15.143887,25.729357,3
134,Song Coin,-8.002967,12.184228,3
135,BitZeny,-7.140954,12.067504,3
142,MindCoin,-15.143997,25.72933,3
143,I0coin,-17.660746,0.27118042,3
145,Revolution VR,-6.5658307,11.618717,3
149,Gamecredits,-8.863449,12.048895,3
151,CarpeDiemCoin,-5.4059906,5.481637,3
155,Adzcoin,-14.399205,25.222515,3
157,YoCoin,-9.125815,11.979366,3
158,SibCoin,-14.76432,26.243465,3
164,Francs,-12.057064,9.646866,3
165,BolivarCoin,-14.932889,25.186462,3
171,Omni,-13.066844,9.436866,3
177,PizzaCoin,-15.1463785,25.722195,3
184,ZayedCoin,-18.08343,-0.47647488,3
189,DopeCoin,-7.0755405,12.039588,3
191,DollarCoin,-18.02543,-0.50948405,3
193,Shilling,-11.963275,10.36265,3
208,KiloCoin,-6.9768124,7.5385156,3
209,ArtexCoin,-14.194818,25.987371,3
210,EmberCoin,-2.8473415,2.5777273,3
215,Kurrent,-14.19794,25.360323,3
231,OsmiumCoin,-12.684412,9.145126,3
238,PacCoin,-3.9273205,4.53419,3
243,BeaverCoin,-12.543943,9.170562,3
245,VaultCoin,-14.07394,25.506613,3
248,Canada eCoin,-8.142708,12.170387,3
255,EB3coin,-7.0196543,9.149123,3
266,BenjiRolls,-11.34995,10.635037,3
268,ILCoin,-17.165108,-0.020478966,3
271,HTML5 Coin,-2.8273394,2.5603664,3
273,EquiTrader,-10.647374,11.123683,3
282,DigitalPrice,-14.395888,25.227377,3
285,Unify,-11.755449,10.070539,3
287,SocialCoin,-10.89934,10.957116,3
288,ArcticCoin,-14.756283,25.158113,3
289,DAS,-14.910861,25.175066,3
293,Bitcore,-14.153578,23.978422,3
297,Onix,-14.07273,25.503298,3
299,Bitcoin Cash,-17.986969,-0.518377,3
303,Sojourn Coin,-6.9701385,7.5281157,3
305,NewYorkCoin,-1.9824654,3.8873634,3
306,FrazCoin,-12.305367,10.195664,3
307,Kronecoin,-10.218456,11.402164,3
308,AdCoin,-9.487722,11.807421,3
309,Linx,-9.460842,11.819175,3
318,Elements,-13.967337,25.87735,3
330,eBoost,-8.140314,12.170833,3
334,Pura,-14.24258,25.984266,3
349,AC3,-14.085596,25.495264,3
353,PopularCoin,-6.961282,7.5136824,3
356,Sucre,-14.776891,25.883682,3
360,IrishCoin,-9.795647,11.650439,3
364,Pioneer Coin,-14.350233,26.040113,3
365,UnitedBitcoin,-17.657663,0.26950127,3
371,MUNcoin,-13.729014,22.41552,3
374,ShareChain,-6.365993,6.717564,3
379,LitecoinCash,-18.512537,1.1800743,3
380,BitFlip,-11.52311,10.485722,3
381,LottoCoin,-6.0437937,6.3376803,3
382,Crypto Improvement Fund,-14.250602,25.996822,3
391,Poseidon,-12.129868,9.598722,3
403,FuturoCoin,-14.3976145,25.23061,3
412,KEYCO,-14.259572,24.37923,3
429,Motion,-15.074829,27.067001,3
431,Axe,-15.103764,25.317865,3
438,HexCoin,-12.584478,10.046113,3
442,Urals Coin,-15.118982,27.199587,3
448,Project Pai,-17.121328,-0.0029951679,3
451,Azart,-15.151696,25.716415,3
454,Xchange,-15.072192,27.067398,3
459,Bitcoin SV,-18.142931,0.08449273,3
468,Block-Logic,-9.086665,11.978074,3
475,SLICE,-17.36931,-1.1119833,3
481,BLAST,-17.584139,0.24896571,3
482,Bitcoin Rhodium,-14.963668,26.417694,3
483,GlobalToken,-17.424644,-0.27890432,3
487,SolarCoin,-4.2673464,4.8721895,3
496,Crypto Escudo,-6.9838037,9.46769,3
500,Crown Coin,-17.945799,-0.5068029,3
502,SmileyCoin,-4.2564692,4.861152,3
508,Bata,-12.912602,9.789543,3
509,Pakcoin,-7.735687,12.179846,3
